Designator,Mid X,Mid Y,Rotation,Layer
C1,108.499999,-134.700001,270.0,top
C10,79.35,-114.46,305.0,top
C11,82.18,-117.82,315.0,top
C12,85.55,-120.64,325.0,top
C13,89.35,-122.84,335.0,top
C14,93.48,-124.35,345.0,top
C15,108.62,-123.69,20.0,top
C16,125.11,-102.2,85.0,top
C17,125.11,-97.8,95.0,top
C18,119.31,-83.8,130.0,top
C19,121.82,-87.4,120.0,top
C2,102.75,-97.25,315.0,top
C20,76.32,-91.38,250.0,top
C21,74.9,-97.81,265.0,top
C22,102.2,-125.12,5.0,top
C23,104.38,-124.83,10.0,top
C24,97.8,-125.12,355.0,top
C25,114.47,-120.66,35.0,top
C26,122.84,-110.65,65.0,top
C27,124.35,-93.48,105.0,top
C28,120.65,-85.54,125.0,top
C29,117.82,-82.18,135.0,top
C3,89.6125,-134.3,180.0,top
C30,114.45,-79.35,145.0,top
C31,110.65,-77.16,155.0,top
C32,77.16,-89.35,245.0,top
C33,78.175,-72.75,90.0,top
C34,112.61,-121.84,30.0,top
C35,125.21,-100.0,90.0,top
C36,97.8,-74.89,185.0,top
C37,116.2,-80.69,140.0,top
C38,123.68,-91.38,110.0,top
C39,78.18,-87.4,240.0,top
C4,117.899999,-134.699999,90.0,top
C40,74.89,-102.2,275.0,top
C41,91.38,-123.68,340.0,top
C42,95.62,-124.82,350.0,top
C43,76.175,-72.75,90.0,top
C44,67.175,-77.25,270.0,top
C45,69.175,-77.25,270.0,top
C46,106.53,-124.35,15.0,top
C47,117.82,-117.82,45.0,top
C48,124.34,-106.52,75.0,top
C49,124.83,-95.62,100.0,top
C5,100.0,-60.7,180.0,top
C50,106.526355,-75.645768,165.0,top
C51,104.38,-75.17,170.0,top
C52,93.476356,-75.644234,195.0,top
C53,95.62,-75.18,190.0,top
C54,75.65,-93.48,255.0,top
C55,71.175,-65.75,270.0,top
C56,71.675,-68.75,180.0,top
C57,116.202299,-119.308538,40.0,top
C58,123.68,-108.62,70.0,top
C59,102.2,-74.88,175.0,top
C6,100.0,-125.21,0.0,top
C60,112.6,-78.17,150.0,top
C61,91.37,-76.31,200.0,top
C62,80.7,-83.8,230.0,top
C63,74.8,-100.0,270.0,top
C64,83.8,-119.31,320.0,top
C65,87.4,-121.82,330.0,top
C66,110.66,-122.86,25.0,top
C67,120.65,-114.46,55.0,top
C68,124.82,-104.38,80.0,top
C69,122.85,-89.35,115.0,top
C7,75.173351,-104.372708,280.0,top
C70,89.35,-77.16,205.0,top
C71,85.54,-79.36,215.0,top
C72,82.18,-82.19,225.0,top
C73,79.36,-85.55,235.0,top
C74,75.17,-95.62,260.0,top
C75,63.5,-116.75,180.0,top
C76,80.25,-133.25,90.0,top
C77,119.3,-116.2,50.0,top
C78,121.83,-112.6,60.0,top
C79,100.0,-74.79,180.0,top
C8,75.64,-106.53,285.0,top
C80,108.62,-76.31,160.0,top
C81,87.394308,-78.18,210.0,top
C82,83.81,-80.71,220.0,top
C83,76.31,-108.62,290.0,top
C84,78.17,-112.61,300.0,top
C85,80.7,-116.2,310.0,top
C86,124.15,-122.3,270.0,top
C87,126.15,-122.3,270.0,top
C88,132.85,-117.3,0.0,top
C89,127.6,-125.8,0.0,top
C9,77.16,-110.65,295.0,top
C90,82.25,-136.75,270.0,top
C91,129.0,-117.3,180.0,top
C92,80.25,-136.75,270.0,top
C93,114.237501,-62.25,0.0,top
C94,114.2375,-67.35,180.0,top
C95,114.2375,-68.899995,180.0,top
D1,100.0,-126.75,180.0,top
D10,97.650001,-126.650882,175.0,top
D11,81.09,-118.91,135.0,top
D12,73.36,-102.33,95.0,top
D13,78.093271,-84.660509,55.0,top
D14,93.078194,-74.158863,15.0,top
D15,111.31,-75.76,335.0,top
D16,124.243264,-88.691864,295.0,top
D17,125.84,-106.92,255.0,top
D18,115.34,-121.91,215.0,top
D19,95.35,-126.34,170.0,top
D2,82.81,-120.49,140.0,top
D20,79.505467,-117.196025,130.0,top
D21,73.25,-100.0,90.0,top
D22,79.51,-82.8,50.0,top
D23,95.355018,-73.658693,10.0,top
D24,113.37,-76.84,330.0,top
D25,125.129878,-90.852058,290.0,top
D26,125.13,-109.15,250.0,top
D27,113.37415,-123.160848,210.0,top
D28,93.08,-125.84,165.0,top
D29,78.09,-115.34,125.0,top
D3,73.657113,-104.641014,100.0,top
D30,73.352492,-97.669068,85.0,top
D31,81.09,-81.08,45.0,top
D32,97.669064,-73.35249,5.0,top
D33,115.34,-78.09,325.0,top
D34,125.832386,-93.074811,285.0,top
D35,124.24,-111.3,245.0,top
D36,111.3,-124.24,205.0,top
D37,90.85,-125.13,160.0,top
D38,76.83915,-113.374149,120.0,top
D39,73.653684,-95.352259,80.0,top
D4,76.84,-86.64,60.0,top
D40,82.8,-79.51,40.0,top
D41,99.999997,-73.249997,0.0,top
D42,117.2,-79.51,320.0,top
D43,126.34,-95.36,280.0,top
D44,123.16,-113.38,240.0,top
D45,109.14,-125.13,200.0,top
D46,88.7,-124.24,155.0,top
D47,75.762339,-111.308018,115.0,top
D48,74.16,-93.08,75.0,top
D49,84.660504,-78.093272,35.0,top
D5,90.848948,-74.863228,20.0,top
D50,102.327505,-73.350929,355.0,top
D51,118.91,-81.08,315.0,top
D52,126.64,-97.67,275.0,top
D53,121.91,-115.34,235.0,top
D54,106.92,-125.83,195.0,top
D55,86.62,-123.17,150.0,top
D56,74.87,-109.15,110.0,top
D57,74.863228,-90.858952,70.0,top
D58,86.624704,-76.835288,30.0,top
D59,104.65,-73.66,350.0,top
D6,109.15,-74.87,340.0,top
D60,120.49,-82.8,310.0,top
D61,126.74,-100.0,270.0,top
D62,120.49,-117.2,230.0,top
D63,104.65,-126.34,190.0,top
D64,84.66,-121.91,145.0,top
D65,74.161802,-106.921136,105.0,top
D66,75.76,-88.69,65.0,top
D67,88.697656,-75.761982,25.0,top
D68,106.92,-74.16,345.0,top
D69,121.91,-84.66,305.0,top
D7,123.165289,-86.625289,300.0,top
D70,126.65,-102.33,265.0,top
D71,118.91,-118.91,225.0,top
D72,102.33,-126.65,185.0,top
D8,126.336316,-104.647741,260.0,top
D9,117.19,-120.49,220.0,top
H1,105.125427,-108.877499,0.0,top
H2,89.749146,-100.0,0.0,top
H3,70.2,-100.0,0.0,top
H4,105.125427,-91.1225,0.0,top
H5,100.0,-70.2,0.0,top
H6,129.8,-100.0,0.0,top
H7,135.0,-100.0,0.0,top
H8,65.0,-100.0,0.0,top
J1,100.0,-140.6,0.0,top
J2,82.171573,-80.0,135.0,bottom
J3,77.0,-85.0,135.0,bottom
J4,67.5,-119.0,270.0,bottom
J5,83.493814,-116.63877,225.0,bottom
J6,116.816,-118.584,135.0,bottom
J7,117.6,-62.875,180.0,bottom
J8,133.2,-62.875,180.0,bottom
J9,125.4,-62.875,180.0,bottom
L1,74.425,-72.75,270.0,top
Q1,72.175,-76.25,0.0,top
Q2,108.1875,-67.3,0.0,top
Q3,108.1875,-63.8,0.0,top
R1,103.8,-130.9,0.0,top
R10,64.249997,-114.074999,90.0,top
R11,73.675,-66.75,0.0,top
R12,73.675,-65.25,180.0,top
R13,71.675,-71.75,180.0,top
R14,71.675,-70.25,0.0,top
R15,127.6,-134.8,270.0,top
R16,129.2,-134.8,270.0,top
R17,130.8,-134.8,270.0,top
R18,132.4,-134.8,270.0,top
R19,134.0,-134.8,270.0,top
R2,96.2,-130.9,180.0,top
R20,135.6,-134.8,270.0,top
R21,82.0,-133.25,90.0,top
R22,84.25,-136.675002,270.0,top
R23,94.75,-66.75,180.0,top
R24,105.45,-67.25,90.0,top
R25,105.4375,-63.874998,90.0,top
R26,94.75,-64.25,180.0,top
R27,111.15,-67.075,90.0,top
R28,111.15,-64.0,270.0,top
R3,123.5,-100.0,0.0,bottom
R4,115.6,-100.0,0.0,bottom
R5,67.25,-116.25,270.0,top
R6,84.4,-100.0,180.0,bottom
R7,76.5,-100.0,180.0,bottom
R8,68.75,-116.25,90.0,top
R9,65.75,-114.074998,90.0,top
SW1,79.75,-132.25,90.0,bottom
SW2,75.75,-132.25,270.0,bottom
U1,89.6125,-136.81,0.0,top
U10,114.1875,-64.8,180.0,top
U2,100.0,-100.0,135.0,top
U3,100.0,-61.0,0.0,bottom
U4,113.200002,-134.6,270.0,top
U5,89.75,-131.5,180.0,top
U6,66.175,-70.25,180.0,top
U7,69.215,-128.984,180.0,top
U8,131.15,-121.8,90.0,top
U9,100.0,-65.5,180.0,top
