Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C56,0.1uF,C_0603_1608Metric,71.675,-68.75,180.0,top
C57,0.1uF,C_0402_1005Metric,116.202299,-119.308538,40.0,top
C58,0.1uF,C_0402_1005Metric,123.68,-108.62,70.0,top
C59,0.1uF,C_0402_1005Metric,102.2,-74.88,175.0,top
C60,0.1uF,C_0402_1005Metric,112.6,-78.17,150.0,top
C61,0.1uF,C_0402_1005Metric,91.37,-76.31,-160.0,top
C62,0.1uF,C_0402_1005Metric,80.7,-83.8,-130.0,top
C63,0.1uF,C_0402_1005Metric,74.8,-100.0,-90.0,top
C64,0.1uF,C_0402_1005Metric,83.8,-119.31,-40.0,top
C65,0.1uF,C_0402_1005Metric,87.4,-121.82,-30.0,top
C66,0.1uF,C_0402_1005Metric,110.66,-122.86,25.0,top
C67,0.1uF,C_0402_1005Metric,120.65,-114.46,55.0,top
C68,0.1uF,C_0402_1005Metric,124.82,-104.38,80.0,top
C69,0.1uF,C_0402_1005Metric,122.85,-89.35,115.0,top
C70,0.1uF,C_0402_1005Metric,89.35,-77.16,-155.0,top
C71,0.1uF,C_0402_1005Metric,85.54,-79.36,-145.0,top
C72,0.1uF,C_0402_1005Metric,82.18,-82.19,-135.0,top
C73,0.1uF,C_0402_1005Metric,79.36,-85.55,-125.0,top
C74,0.1uF,C_0402_1005Metric,75.17,-95.62,-100.0,top
C75,10uF,C_0805_2012Metric,63.5,-116.75,180.0,top
C76,1uF,C_0603_1608Metric,80.25,-133.25,90.0,top
C77,0.1uF,C_0402_1005Metric,119.3,-116.2,50.0,top
C78,0.1uF,C_0402_1005Metric,121.83,-112.6,60.0,top
C79,0.1uF,C_0402_1005Metric,100.0,-74.79,180.0,top
C80,0.1uF,C_0402_1005Metric,108.62,-76.31,160.0,top
C81,0.1uF,C_0402_1005Metric,87.394308,-78.18,-150.0,top
C82,0.1uF,C_0402_1005Metric,83.81,-80.71,-140.0,top
C83,0.1uF,C_0402_1005Metric,76.31,-108.62,-70.0,top
C84,0.1uF,C_0402_1005Metric,78.17,-112.61,-60.0,top
C85,0.1uF,C_0402_1005Metric,80.7,-116.2,-50.0,top
C86,22uF,C_0805_2012Metric,124.15,-122.3,-90.0,top
C87,0.1uF,C_0603_1608Metric,126.15,-122.3,-90.0,top
C88,0.1uF,C_0603_1608Metric,132.85,-117.3,0.0,top
C89,0.1uF,C_0603_1608Metric,127.6,-125.8,0.0,top
C90,10uF,C_0805_2012Metric,82.25,-136.75,-90.0,top
C91,0.1uF,C_0603_1608Metric,129.0,-117.3,180.0,top
C92,0.1uF,C_0603_1608Metric,80.25,-136.75,-90.0,top
C93,10uF,C_0603_1608Metric,114.237501,-62.25,0.0,top
C94,10uF,C_0603_1608Metric,114.2375,-67.35,180.0,top
C95,100nF,C_0603_1608Metric,114.2375,-68.899995,180.0,top
D1,SK6805,LED_SK6812_EC15_1.5x1.5mm,100.0,-126.75,180.0,top
D2,SK6805,LED_SK6812_EC15_1.5x1.5mm,82.81,-120.49,140.0,top
D3,SK6805,LED_SK6812_EC15_1.5x1.5mm,73.657113,-104.641014,100.0,top
D4,SK6805,LED_SK6812_EC15_1.5x1.5mm,76.84,-86.64,60.0,top
D5,SK6805,LED_SK6812_EC15_1.5x1.5mm,90.848948,-74.863228,20.0,top
D6,SK6805,LED_SK6812_EC15_1.5x1.5mm,109.15,-74.87,-20.0,top
D7,SK6805,LED_SK6812_EC15_1.5x1.5mm,123.165289,-86.625289,-60.0,top
D8,SK6805,LED_SK6812_EC15_1.5x1.5mm,126.336316,-104.647741,-100.0,top
D9,SK6805,LED_SK6812_EC15_1.5x1.5mm,117.19,-120.49,-140.0,top
D10,SK6805,LED_SK6812_EC15_1.5x1.5mm,97.650001,-126.650882,175.0,top
D11,SK6805,LED_SK6812_EC15_1.5x1.5mm,81.09,-118.91,135.0,top
D12,SK6805,LED_SK6812_EC15_1.5x1.5mm,73.36,-102.33,95.0,top
D13,SK6805,LED_SK6812_EC15_1.5x1.5mm,78.093271,-84.660509,55.0,top
D14,SK6805,LED_SK6812_EC15_1.5x1.5mm,93.078194,-74.158863,15.0,top
